File Name: d2103.tsp,,,,
,,,,
Elitism Factor: 10.000000,,,,
,,,,
File Name: d2103.tsp,,,,
,,,,
Elitism Factor: 10.000000,,,,
,,,,
AvgLength, AvgTime,,,
169880.879,486.333333,,,
,,,,
Elitism Factor: 20.000000,,,,
,,,,
AvgLength, AvgTime,,,
167864.8417,485,,,-2706.837866
,,,,
Elitism Factor: 30.000000,,,,
,,,,
AvgLength, AvgTime,,,
165158.0038,490.666667,,,
,,,,
File Name: pr2392.tsp,,,,-6547.618664
,,,,
Elitism Factor: 10.000000,,,,
,,,,
AvgLength, AvgTime,,,
817763.171,485.333333,,,
,,,,e  =
Elitism Factor: 20.000000,,,,
,,,,
AvgLength, AvgTime,,,
811215.5524,485.333333,,,
,,,,
Elitism Factor: 30.000000,,,,
,,,,
AvgLength, AvgTime,,,
820987.8936,484.666667,,,
